Comment,Designator,Footprint,LCSC Part #,Quantity
1.2k,R13,R_0805_2012Metric,C17520,1
100k,"R19,R23",R_0805_2012Metric,C17407,2
100nF,"C13_boost,C2,C3,C4,C7,C8",C_0805_2012Metric,C49678,6
10k,"R10,R21,R22,R24,R6",R_0805_2012Metric,C17414,5
10uF,"C1,C10,C13_SD,C5,C9",C_0805_2012Metric,C15850,5
1k,"R15,R16,R4,R5,R7",R_0805_2012Metric,C17513,5
220R,"R1,R2,R3",R_0805_2012Metric,C17557,3
22k,R17,R_0805_2012Metric,C17557,1
22uF,"C11,C12,C6",C_0805_2012Metric,C45783,3
3k,R18,R_0805_2012Metric,C17561,1
4.7k,"R8,R9",R_0805_2012Metric,C17475,2
4.7uH,L1,L_0805_2012Metric,C407457,1
47k,R20,R_0805_2012Metric,C17475,1
5.1k,"R11,R12",R_0805_2012Metric,C23186,2
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186,1
AO3401,Q3,SOT-23,C15127,1
ATECC608B,U4,SOIC-8_3.9x4.9mm_P1.27mm,C313975,1
BAT,J5,PinHeader_1x02_P2.54mm_Vertical,C124375,1
BLUE,LED3,LED_0805_2012Metric,C72041,1
BOOT,SW2,SW_Push_1P1T_NO_6x6mm_H9.5mm,C318884,1
BUZZER_5V,BZ1,Buzzer_CUI_CPT-9019S-SMT,C95298,1
CHRG_RED,LED4,LED_0805_2012Metric,C84256,1
DONE_GRN,LED5,LED_0805_2012Metric,C72043,1
ESP32-WROOM-32,U1,ESP32-WROOM-32,C701343,1
EXP,J3,PinHeader_1x06_P2.54mm_Vertical,C124380,1
FB_1k,FB1,L_0805_2012Metric,C1017,1
GREEN,LED2,LED_0805_2012Metric,C72043,1
MMBT3904,"Q1,Q2",SOT-23,C20526,2
MT3608,U7,SOT-23-6,C47773,1
PC817,OPT1,DIP-4_W7.62mm,C7591,1
PPTC_500mA,F1,Fuse_1812_4532Metric,C369317,1
RED,LED1,LED_0805_2012Metric,C84256,1
RELAY_OUT,J4,TerminalBlock_Altech_AK300-3_P5.00mm,C8240,1
RESET,SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,C318884,1
SMBJ5.0CA,D6,D_SMB,C8975,1
SRD-05VDC,K1,Relay_SPDT_Schrack-RT1-FormC_RM5mm,C137113,1
SS14,"D4,D7",D_SMA,C2480,2
TP4056,U6,SOIC-8_3.9x4.9mm_P1.27mm,C16581,1
UART,J2,PinHeader_1x04_P2.54mm_Vertical,C124378,1
USB-C,J1,USB_C_Receptacle_Amphenol_12401548E4-2A,C168688,1
microSD,U5,microSD_HC_Hirose_DM3AT-SF-PEJM5,C91145,1
