Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","BUZZER_5V","Buzzer_CUI_CPT-9019S-SMT",28.000000,-87.000000,0.000000,top
"C1","10uF","C_0805_2012Metric",40.000000,-48.000000,0.000000,top
"C2","100nF","C_0805_2012Metric",40.000000,-52.000000,0.000000,top
"C3","100nF","C_0805_2012Metric",28.750000,-22.000000,0.000000,top
"C4","100nF","C_0805_2012Metric",37.000000,-36.000000,0.000000,top
"C5","10uF","C_0805_2012Metric",32.000000,-22.000000,0.000000,top
"C6","22uF","C_0805_2012Metric",58.000000,-72.000000,0.000000,top
"C7","100nF","C_0805_2012Metric",66.000000,-72.000000,0.000000,top
"C8","100nF","C_0805_2012Metric",18.000000,-104.000000,0.000000,top
"C9","10uF","C_0805_2012Metric",10.000000,-70.000000,0.000000,top
"C10","10uF","C_0805_2012Metric",18.000000,-70.000000,0.000000,top
"C11","22uF","C_0805_2012Metric",38.000000,-70.000000,0.000000,top
"C12","22uF","C_0805_2012Metric",50.000000,-72.000000,0.000000,top
"C13_SD","10uF","C_0805_2012Metric",24.000000,-98.950000,0.000000,top
"C13_boost","100nF","C_0805_2012Metric",53.000000,-68.000000,0.000000,top
"D4","SS14","D_SMA",61.050000,-98.100000,0.000000,top
"D6","SMBJ5.0CA","D_SMB",20.000000,-53.000000,0.000000,top
"D7","SS14","D_SMA",45.000000,-70.000000,0.000000,top
"F1","PPTC_500mA","Fuse_1812_4532Metric",20.000000,-48.000000,0.000000,top
"FB1","FB_1k","L_0805_2012Metric",36.000000,-50.000000,0.000000,top
"FID1","FID","Fiducial_1mm_Mask3mm",4.000000,-55.000000,0.000000,top
"FID2","FID","Fiducial_1mm_Mask3mm",71.000000,-55.000000,0.000000,top
"FID3","FID","Fiducial_1mm_Mask3mm",37.000000,-106.000000,0.000000,top
"J1","USB-C","USB_C_Receptacle_Amphenol_12401548E4-2A",10.000000,-50.000000,90.000000,top
"J2","UART","PinHeader_1x04_P2.54mm_Vertical",55.000000,-84.000000,90.000000,top
"J3","EXP","PinHeader_1x06_P2.54mm_Vertical",60.000000,-87.895000,90.000000,top
"J4","RELAY_OUT","TerminalBlock_Altech_AK300-3_P5.00mm",68.000000,-101.025000,90.000000,top
"J5","BAT","PinHeader_1x02_P2.54mm_Vertical",32.000000,-67.000000,0.000000,top
"K1","SRD-05VDC","Relay_SPDT_Schrack-RT1-FormC_RM5mm",60.000000,-105.000000,0.000000,top
"L1","4.7uH","L_0805_2012Metric",45.000000,-64.000000,0.000000,top
"LED1","RED","LED_0805_2012Metric",10.000000,-84.000000,0.000000,top
"LED2","GREEN","LED_0805_2012Metric",10.000000,-87.000000,0.000000,top
"LED3","BLUE","LED_0805_2012Metric",10.000000,-90.000000,0.000000,top
"LED4","CHRG_RED","LED_0805_2012Metric",25.000000,-64.000000,0.000000,top
"LED5","DONE_GRN","LED_0805_2012Metric",25.000000,-67.000000,0.000000,top
"OPT1","PC817","DIP-4_W7.62mm",50.000000,-100.000000,0.000000,top
"Q1","MMBT3904","SOT-23",54.845000,-100.000000,0.000000,top
"Q2","MMBT3904","SOT-23",25.000000,-93.000000,0.000000,top
"Q3","AO3401","SOT-23",27.000000,-50.000000,0.000000,top
"R1","220R","R_0805_2012Metric",15.000000,-84.000000,0.000000,top
"R2","220R","R_0805_2012Metric",15.000000,-87.000000,0.000000,top
"R3","220R","R_0805_2012Metric",15.000000,-90.000000,0.000000,top
